U:	16	1	1	1	1	-	0.08769869804382324	
U:	16	1	1	1	2	-	0.09256362915039062	
U:	16	1	1	1	4	-	0.09148669242858887	
U:	16	1	1	1	8	-	0.08960938453674316	
U:	16	1	1	1	16	-	0.08997941017150879	
U:	16	1	1	2	2	-	0.09055542945861816	
U:	16	1	1	2	4	-	0.09078097343444824	
U:	16	1	1	2	8	-	0.09131264686584473	
U:	16	1	1	2	16	-	0.08816790580749512	
U:	16	1	1	4	4	-	0.08761787414550781	2
U:	16	1	1	4	8	-	0.0864412784576416	2
U:	16	1	1	4	16	-	0.0903480052947998	2
U:	16	1	1	8	8	-	0.09265279769897461	2
U:	16	1	1	8	16	-	0.08931446075439453	2
U:	16	1	1	16	16	-	0.08570265769958496	0
U:	16	2	1	1	1	-	0.09539389610290527	1
U:	16	2	1	1	2	-	0.09175443649291992	1
U:	16	2	1	1	4	-	0.09618687629699707	1
U:	16	2	1	1	8	-	0.09406852722167969	1
U:	16	2	1	1	16	-	0.09780740737915039	1
U:	16	2	1	2	2	-	0.09538841247558594	1
U:	16	2	1	2	4	-	0.09385132789611816	1
U:	16	2	1	2	8	-	0.09360766410827637	1
U:	16	2	1	2	16	-	0.0998077392578125	1
U:	16	2	1	4	4	-	0.10031652450561523	1
U:	16	2	1	4	8	-	0.09911251068115234	1
U:	16	2	1	4	16	-	0.09976434707641602	1
U:	16	2	1	8	8	-	0.10103869438171387	1
U:	16	2	1	8	16	-	0.10291171073913574	1
U:	16	2	1	16	16	-	0.09926176071166992	1
U:	16	2	2	1	1	-	0.09833836555480957	1
U:	16	2	2	1	2	-	0.09902286529541016	1
U:	16	2	2	1	4	-	0.10243773460388184	1
U:	16	2	2	1	8	-	0.10149836540222168	1
U:	16	2	2	2	2	-	0.09959721565246582	1
U:	16	2	2	2	4	-	0.09136414527893066	1
U:	16	2	2	2	8	-	0.09199714660644531	1
U:	16	2	2	4	4	-	0.09264969825744629	1
U:	16	2	2	4	8	-	0.10067057609558105	1
U:	16	2	2	8	8	-	0.10002613067626953	1
U:	16	4	1	1	1	-	0.10969257354736328	1
U:	16	4	1	1	2	-	0.11101150512695312	1
U:	16	4	1	1	4	-	0.10543107986450195	1
U:	16	4	1	1	8	-	0.10322117805480957	1
U:	16	4	1	1	16	-	0.10358166694641113	1
U:	16	4	1	2	2	-	0.1028897762298584	1
U:	16	4	1	2	4	-	0.1019277572631836	1
