d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00023911,0.31319598,46,1309.840574,239μs\n313ms,1.849835268
4,2,0.0003653,1.068094859,31,2923.884093,3655μs\n1.07s,1.423475714
4,4,0.00051995,1.374432006,27,2643.392645,520μs\n1.37ms,1.388473237
4,8,,,,,,
8,1,0.00052419,1.00563412,71,1918.453461,524μs\n1.01ms,1.352821895
8,2,0.00095486,3.569977617,74,3738.744546,955μs\n3.57s,1.103493481
8,4,0.00169368,16.50473185,63,9744.893868,1.69ms\n16.50s,1.080969125
8,8,0.00227273,21.19255873,37,9324.714653,2.27ms\n21.19s,1.063922736
16,1,,,,,,
16,2,,,,,,
16,4,,,,,,
16,8,,,,,,
32,1,,,,,,
32,2,,,,,,
32,4,,,,,,
32,8,,,,,,
