4000	1000	1000	1	3	8	0.0165	0.0168	0.0654	0.0365	0.1184
4000	1000	1000	2	5	12	0.0103	0.0322	0.1477	0.0747	0.8384
4000	1000	1000	4	8	20	0.0122	0.0242	0.1082	0.0593	1.949
4000	1000	2000	1	3	8	0.003	0.0094	0.0262	0.0156	0.1654
4000	1000	2000	2	5	12	0.0038	0.0178	0.0374	0.0324	0.3131
4000	1000	4000	1	3	8	0.0035	0.01	0.029	0.017	0.1652
4000	2000	1000	1	2	8	0.003	0.0079	0.023	0.011	0.1379
4000	2000	1000	2	4	14	0.0038	0.0162	0.0621	0.0486	0.3535
4000	2000	1000	4	8	22	0.0108	0.0238	0.1927	0.0683	2.5405
4000	2000	2000	1	2	8	0.0039	0.0106	0.0326	0.0158	0.1665
4000	2000	2000	2	4	12	0.0048	0.0208	0.0756	0.0665	0.4028
4000	2000	4000	1	2	8	0.003	0.0093	0.028	0.0123	0.163
4000	2000	4000	2	4	14	0.0037	0.02	0.0412	0.0368	0.3391
4000	4000	1000	1	2	8	0.003	0.0094	0.0278	0.0123	0.1629
4000	4000	1000	2	4	14	0.0037	0.02	0.0702	0.0641	0.4138
4000	4000	1000	4	8	22	0.0128	0.0307	0.3111	0.1026	1.5264
4000	4000	1000	8	16	34	0.0109	0.0181	0.098	0.0555	1.3242
4000	4000	2000	1	2	8	0.003	0.0093	0.0278	0.0122	0.163
4000	4000	2000	2	4	12	0.0066	0.0207	0.0722	0.0644	0.3087
4000	4000	2000	4	8	18	0.0133	0.0316	0.0668	0.0609	0.5398
4000	4000	4000	1	2	8	0.0035	0.0103	0.0279	0.0123	0.163
4000	4000	4000	2	4	16	0.0036	0.0202	0.0409	0.0367	0.3612
8000	1000	1000	1	3	10	0.003	0.0115	0.0323	0.017	0.219
8000	1000	1000	2	5	14	0.0037	0.0243	0.0464	0.042	0.3892
8000	1000	1000	4	9	26	0.0128	0.0329	0.1371	0.1186	1.6447
8000	1000	1000	8	16	36	0.0107	0.0183	0.2056	0.1198	5.0677
8000	1000	2000	1	3	10	0.0037	0.0145	0.0433	0.0218	0.2564
8000	1000	2000	2	5	14	0.0043	0.0285	0.0581	0.0539	0.4682
