formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 4,64,8,32,1.1543000000000001,0.0054879999999999998,0.002744000
Psi 4,128,2,4,7.1077180000000002,0.0070070000000000002,0.00021900000000000001
Psi 4,128,2,8,5.2134270000000003,0.0049249999999999997,0.00030800000000000001
Psi 4,128,2,16,3.5200610000000001,0.0038630000000000001,0.00048299999999999998
Psi 4,128,2,32,2.2688269999999999,0.0033310000000000002,0.00083299999999999997
Psi 4,128,4,8,4.0664009999999999,0.0096369999999999997,0.00060200000000000000
Psi 4,128,4,16,2.9746199999999998,0.0069709999999999998,0.00087100000000000003
Psi 4,128,4,32,2.0622970000000000,0.0055719999999999997,0.00139300
Psi 4,128,8,16,2.3093490000000001,0.01745800,0.0021819999999999999
Psi 4,128,8,32,1.7487450000000000,0.01287000,0.0032179999999999999
Psi 4,256,2,4,13.93826600,0.0142210,0.00022200000000000000
Psi 4,256,2,8,10.085297000000001,0.0099810000000000003,0.000312000
Psi 4,256,2,16,6.6046889999999996,0.0078659999999999997,0.00049200000000000003
Psi 4,256,2,32,4.0521310000000001,0.0068040000000000002,0.00084999999999999995
Psi 4,256,4,8,7.8138829999999997,0.019806000000000001,0.00061899999999999998
Psi 4,256,4,16,5.5657629999999996,0.01433800,0.00089599999999999999
Psi 4,256,4,32,3.6787540000000001,0.01149900,0.001437000
Psi 4,256,8,16,4.2691800000000004,0.037019999999999997,0.002314000
Psi 4,256,8,32,3.0860400000000001,0.027234999999999999,0.0034039999999999999
Psi 4,512,2,4,28.589631000000001,0.02847400,0.000222000
Psi 4,512,2,8,20.56175600,0.0199600,0.00031199999999999999
Psi 4,512,2,16,13.24068000,0.015771000000000000,0.00049299999999999995
Psi 4,512,2,32,7.8936019999999996,0.013653000000000000,0.00085300000000000003
Psi 4,512,4,8,15.291936000000000,0.039522000000000002,0.00061799999999999995
Psi 4,512,4,16,10.77454400,0.02838700,0.00088699999999999998
Psi 4,512,4,32,6.9319920000000002,0.022755999999999998,0.001422000
Psi 4,512,8,16,8.1734760000000009,0.076263999999999998,0.00238300
Psi 4,512,8,32,5.7985579999999999,0.05596900,0.003498000
Psi 5,16,2,4,1.9560540000000000,0.0027260000000000001,0.00068099999999999996
Psi 5,16,2,8,1.3677980000000001,0.0024989999999999999,0.0012500000000000000
Psi 5,16,2,16,0.99882700000000002,0.0023630000000000001,0.0023630000000000001
Psi 5,16,4,8,1.3473450000000000,0.0049959999999999996,0.0024979999999999998
Psi 5,16,4,16,0.99871500000000002,0.0047959999999999999,0.0047959999999999999
Psi 5,16,8,16,0.99885999999999997,0.01915900,0.01915900
Psi 5,32,2,4,3.598685000,0.0057679999999999997,0.00072099999999999996
Psi 5,32,2,8,2.2454369999999999,0.0052529999999999999,0.0013129999999999999
Psi 5,32,2,16,1.436416000,0.0049870000000000001,0.0024940000000000001
Psi 5,32,2,32,1.000230000,0.0048710000000000003,0.0048710000000000003
Psi 5,32,4,8,2.2143690000000000,0.01010100,0.0025249999999999999
Psi 5,32,4,16,1.4283760000000001,0.0095270000000000007,0.0047640000000000000
Psi 5,32,4,32,1.001787000,0.0091719999999999996,0.0091719999999999996
Psi 5,32,8,16,1.509833000,0.029083000000000001,0.014541999999999999
Psi 5,32,8,32,1.0109760000000001,0.02835100,0.02835100
Psi 5,64,2,4,7.0639570000000003,0.01182000,0.00073899999999999997
Psi 5,64,2,8,4.1501310000000000,0.01070700,0.0013380000000000000
Psi 5,64,2,16,2.4397300000000000,0.01016900,0.0025420000000000000
Psi 5,64,2,32,1.504512000,0.0099629999999999996,0.0049810000000000002
Psi 5,64,4,8,4.0107510000000000,0.020358000000000001,0.0025450000000000000
Psi 5,64,4,16,2.3917690000000000,0.01905200,0.0047629999999999999
Psi 5,64,4,32,1.4901970000000000,0.018386000000000000,0.0091929999999999998
Psi 5,64,8,16,2.4674559999999999,0.052553000000000002,0.013138000
Psi 5,64,8,32,1.5132080000000001,0.050550999999999999,0.025274999999999999
Psi 5,128,2,4,14.174168999999999,0.024299999999999999,0.00075900000000000002
Psi 5,128,2,8,8.0882480000000001,0.02197900,0.0013740000000000000
Psi 5,128,2,16,4.5155700000000003,0.020899999999999998,0.0026129999999999999
Psi 5,128,2,32,2.5687250000000001,0.020516000000000000,0.0051289999999999999
Psi 5,128,4,8,7.693906000,0.041986999999999997,0.0026240000000000000
Psi 5,128,4,16,4.3559760000000001,0.03921100,0.0049010000000000000
Psi 5,128,4,32,2.5111610000000000,0.037859999999999998,0.0094649999999999995
Psi 5,128,8,16,4.3958310000000003,0.10489600000000000,0.013112000000000000
Psi 5,128,8,32,2.5341369999999999,0.10022399999999999,0.025055999999999998
Psi 5,256,2,4,29.637850000000000,0.048416000000000001,0.00075600000000000005
Psi 5,256,2,8,16.680720000000001,0.043700999999999997,0.0013660000000000000
Psi 5,256,2,16,9.034485000,0.041539000000000000,0.0025959999999999998
Psi 5,256,2,32,4.8937819999999999,0.040767999999999999,0.005096000
Psi 5,256,4,8,15.213255999999999,0.083155999999999994,0.0025990000000000002
Psi 5,256,4,16,8.4495380000000004,0.077441999999999997,0.0048399999999999997
Psi 5,256,4,32,4.6398820000000001,0.07482500,0.0093530000000000002
Psi 5,256,8,16,8.0538430000000005,0.19857100000000000,0.01241100
Psi 5,256,8,32,4.4823279999999999,0.18859799999999999,0.023574999999999999
Psi 5,512,2,4,65.704189000000000,0.096832000000000001,0.00075600000000000005
Psi 5,512,2,8,36.838231999999998,0.087294999999999998,0.00136400
Psi 5,512,2,16,19.733322999999999,0.082982000000000000,0.0025929999999999998
Psi 5,512,2,32,10.379930000000000,0.081518999999999994,0.0050949999999999997
Psi 5,512,4,8,31.836114999999999,0.16745400,0.0026159999999999998
Psi 5,512,4,16,17.590318000000000,0.15583300000000000,0.0048700000000000002
Psi 5,512,4,32,9.4267210000000006,0.15065300,0.009416000
Psi 5,512,8,16,15.92152800,0.40102500000000002,0.01253200
Psi 5,512,8,32,8.6668439999999993,0.38074700000000000,0.023796999999999999
Psi 6,16,2,4,1.949283000,0.0053049999999999998,0.0013259999999999999
Psi 6,16,2,8,1.3411679999999999,0.0050540000000000003,0.0025270000000000002
Psi 6,16,2,16,0.99736700000000000,0.0049069999999999999,0.0049069999999999999
Psi 6,16,4,8,1.243730000,0.01093000,0.0054650000000000002
Psi 6,16,4,16,0.99500100000000002,0.01073400,0.01073400
Psi 6,16,8,16,0.99810600000000005,0.031770000000000000,0.031770000000000000
Psi 6,32,2,4,3.7608340000000000,0.01155300,0.001444000
Psi 6,32,2,8,2.2532109999999999,0.010973999999999999,0.0027430000000000002
Psi 6,32,2,16,1.4249940000000001,0.01067900,0.0053390000000000000
Psi 6,32,2,32,0.99684600000000001,0.01054100,0.01054100
Psi 6,32,4,8,2.1597860000000000,0.024212999999999998,0.0060530000000000002
Psi 6,32,4,16,1.3922559999999999,0.023616000000000002,0.011808000
Psi 6,32,4,32,1.005096000,0.023077000000000000,0.023077000000000000
Psi 6,32,8,16,1.3797619999999999,0.065686999999999995,0.032843999999999998
Psi 6,32,8,32,1.006936000,0.064976999999999993,0.064976999999999993
Psi 6,64,2,4,7.4554039999999997,0.02388400,0.001493000
Psi 6,64,2,8,4.1719080000000002,0.022820000000000000,0.0028519999999999999
Psi 6,64,2,16,2.4051760000000000,0.022189000000000000,0.0055469999999999998
Psi 6,64,2,32,1.473055000,0.021937999999999999,0.010969000000000000
Psi 6,64,4,8,4.0488289999999996,0.051090000000000003,0.006386000
Psi 6,64,4,16,2.3423850000000002,0.04969500,0.012424000
Psi 6,64,4,32,1.4488920000000001,0.0489580,0.0244790
Psi 6,64,8,16,2.3124370000000001,0.13928700,0.03482200
Psi 6,64,8,32,1.44383800,0.13718700000000000,0.068594000000000002
Psi 6,128,2,4,14.83721500,0.049907000000000000,0.001560000
Psi 6,128,2,8,8.0980530000000002,0.047187000000000000,0.0029489999999999998
Psi 6,128,2,16,4.4312880000000003,0.04591600,0.00573900
Psi 6,128,2,32,2.501156000,0.04544600,0.011361000
Psi 6,128,4,8,7.9028219999999996,0.10754800,0.006722000
Psi 6,128,4,16,4.3286590000000000,0.10449500,0.013062000
Psi 6,128,4,32,2.4613330000000002,0.10309700,0.025774000
Psi 6,128,8,16,4.3317530000000000,0.29400700000000002,0.036750999999999999
Psi 6,128,8,32,2.4639199999999999,0.28902099999999997,0.072255000000000000
Psi 6,256,2,4,30.495431000000000,0.098566000000000001,0.0015399999999999999
Psi 6,256,2,8,16.39191000,0.093190999999999996,0.0029120000000000001
Psi 6,256,2,16,8.8136910000000004,0.09071700,0.0056699999999999997
Psi 6,256,2,32,4.7311639999999997,0.089806999999999998,0.011226000000000000
Psi 6,256,4,8,15.897627000000000,0.21246499999999999,0.0066400000000000001
Psi 6,256,4,16,8.4141829999999995,0.20634800,0.012897000
Psi 6,256,4,32,4.5300840000000004,0.20352100000000001,0.025440000000000001
Psi 6,256,8,16,8.1842670000000002,0.58053299999999997,0.036283000000000003
Psi 6,256,8,32,4.3972540000000002,0.56997500000000001,0.071247000000000005
Psi 6,512,2,4,64.383829000000006,0.19898800000000000,0.001555000
Psi 6,512,2,8,34.145651999999998,0.18815600,0.0029399999999999999
Psi 6,512,2,16,17.939678000000001,0.18325100,0.0057270000000000003
Psi 6,512,2,32,9.373728000,0.18142000,0.011339000
Psi 6,512,4,8,31.91052700,0.43377900,0.0067780000000000002
Psi 6,512,4,16,16.70238800,0.42368400000000001,0.013240000
Psi 6,512,4,32,8.792761000,0.41443999999999998,0.025902999999999999
Psi 6,512,8,16,15.995593000000000,1.1999080000000000,0.037497000
Psi 6,512,8,32,8.3693170000000006,1.17912100,0.073694999999999997
