d,eps,Delta,speedup,incr wall time,time per portion
16,2,4,1.3432479390000001,0.00073238000000000003,0.00018309500000000001,,
16,2,8,1.1446320080000001,0.00052313000000000001,0.00026156500000000001,,
16,2,16,1.0117305240000001,0.00039038000000000001,0.00039038000000000001,,
16,4,8,1.066133386,0.00075153999999999998,0.00037576999999999999,,
16,4,16,1.0165698160000001,0.00055075000000000002,0.00055075000000000002,,
16,8,16,1.0223242990000001,0.00081921000000000001,0.00081921000000000001,,
32,2,4,2.15062519,0.0016191700000000001,0.000202396,,
32,2,8,1.6889093550000001,0.0011475599999999999,0.00028688999999999999,,
32,2,16,1.301958392,0.00088692000000000003,0.00044346000000000001,,
32,2,32,1.0121819000000001,0.00074878,0.00074878,,
32,4,8,1.372052802,0.00201979,0.00050494799999999996,,
32,4,16,1.149188675,0.00146328,0.00073163999999999998,,
32,4,32,1.01768977,0.00110407,0.00110407,,
32,8,16,1.060707251,0.0027056900000000002,0.0013528450000000001,,
32,8,32,1.0308349960000001,0.0019723499999999999,0.0019723499999999999,,
64,2,4,3.7751492629999999,0.0034045099999999999,0.00021278200000000001,,
64,2,8,2.8424605380000001,0.0023942799999999999,0.00029928499999999999,,
64,2,16,2.0229997719999999,0.00186787,0.00046696800000000001,,
64,2,32,1.4066326689999999,0.0016000599999999999,0.00080002999999999997,,
64,4,8,2.2254440639999999,0.0045176299999999999,0.00056470399999999997,,
64,4,16,1.7151326769999999,0.00326802,0.00081700499999999999,,
64,4,32,1.315047531,0.0025647600000000001,0.0012823800000000001,,
64,8,16,1.37489336,0.0074870500000000003,0.001871763,,
64,8,32,1.1542998449999999,0.0054882500000000001,0.002744125,,
128,2,4,7.1077176890000002,0.0070073999999999996,0.00021898100000000001,,
128,2,8,5.2134265180000003,0.0049246000000000003,0.00030778799999999997,,
128,2,16,3.5200607009999998,0.0038631099999999999,0.00048288900000000002,,
128,2,32,2.2688265009999999,0.0033307499999999999,0.00083268800000000005,,
128,4,8,4.0664006720000003,0.0096373299999999995,0.00060233300000000004,,
128,4,16,2.9746203630000001,0.0069707399999999996,0.00087134300000000001,,
128,4,32,2.0622965249999998,0.0055716799999999999,0.00139292,,
128,8,16,2.3093488290000002,0.01745762,0.0021822030000000002,,
128,8,32,1.7487453610000001,0.01287047,0.0032176180000000002,,
256,2,4,13.93826593,0.0142208,0.00022220000000000001,,
256,2,8,10.085297300000001,0.0099813899999999997,0.000311918,,
256,2,16,6.6046894800000002,0.0078662899999999997,0.00049164300000000005,,
256,2,32,4.0521310450000003,0.0068038400000000002,0.00085048000000000003,,
256,4,8,7.8138828169999996,0.019805650000000001,0.00061892700000000002,,
256,4,16,5.5657631109999999,0.01433805,0.00089612800000000005,,
256,4,32,3.6787536420000002,0.01149902,0.001437378,,
256,8,16,4.2691798969999999,0.037020119999999997,0.002313758,,
256,8,32,3.0860397220000002,0.027235490000000001,0.0034044359999999998,,
512,2,4,28.589631319999999,0.02847442,0.000222456,,
512,2,8,20.56175584,0.0199604,0.00031188100000000002,,
512,2,16,13.24067984,0.015771429999999999,0.00049285699999999997,,
512,2,32,7.8936015810000004,0.013652900000000001,0.00085330599999999996,,
512,4,8,15.291936460000001,0.039522109999999999,0.00061753299999999997,,
512,4,16,10.77454354,0.02838688,0.00088708999999999999,,
512,4,32,6.9319920499999998,0.022755500000000001,0.001422219,,
512,8,16,8.1734759869999998,0.076263990000000004,0.00238325,,
512,8,32,5.7985579090000003,0.05596872,0.003498045
